Datum,Cas,Boti,CPU[%],RAM[%],Net[Mb/s],Stav
2025-05-02,20:06:43,4,84,74,282.53,Funkcni
2025-05-02,20:06:43,4,86,74,280.36,Funkcni
2025-05-02,20:06:44,4,89,74,279.27,Funkcni
2025-05-02,20:06:44,4,88,74,297.4,Funkcni
2025-05-02,20:06:45,4,63,74,213.71,Funkcni
2025-05-02,20:06:45,4,48,74,82.31,Funkcni
2025-05-02,20:06:46,4,46,74,97.53,Funkcni
2025-05-02,20:06:47,4,45,74,78.5,Funkcni
2025-05-02,20:06:47,4,52,74,92.94,Funkcni
2025-05-02,20:06:48,4,41,74,83.74,Funkcni
2025-05-02,20:06:48,4,52,74,81.04,Funkcni
2025-05-02,20:06:49,4,44,74,78.3,Funkcni
2025-05-02,20:06:49,4,45,74,84.76,Funkcni
2025-05-02,20:06:50,4,54,74,86.77,Funkcni
2025-05-02,20:06:51,4,55,74,100.53,Funkcni
2025-05-02,20:06:51,4,60,74,105.46,Funkcni
2025-05-02,20:06:52,4,49,74,111.16,Funkcni
2025-05-02,20:06:52,4,52,74,93.33,Funkcni
2025-05-02,20:06:53,4,56,74,102.14,Funkcni
2025-05-02,20:06:53,4,55,74,101.74,Funkcni
2025-05-02,20:06:54,4,60,74,110.21,Funkcni
2025-05-02,20:06:55,4,57,74,114.8,Funkcni
2025-05-02,20:06:55,4,50,74,94.55,Funkcni
2025-05-02,20:06:56,4,56,74,99.96,Funkcni
2025-05-02,20:06:56,4,47,74,91.8,Funkcni
2025-05-02,20:06:57,4,53,74,96.83,Funkcni
2025-05-02,20:06:57,4,49,74,103.48,Funkcni
2025-05-02,20:06:58,4,56,75,112.76,Funkcni
2025-05-02,20:06:59,4,51,75,99.95,Funkcni
2025-05-02,20:06:59,4,55,74,101.49,Funkcni
2025-05-02,20:07:00,4,52,74,95.14,Funkcni
2025-05-02,20:07:00,4,50,75,89.84,Funkcni
2025-05-02,20:07:01,4,53,75,109.46,Funkcni
2025-05-02,20:07:02,4,53,75,116.11,Funkcni
2025-05-02,20:07:03,4,60,75,113.58,Funkcni
2025-05-02,20:07:03,4,57,75,108.1,Funkcni
2025-05-02,20:07:04,4,53,75,92.61,Funkcni
2025-05-02,20:07:04,4,51,75,103.68,Funkcni
2025-05-02,20:07:05,4,53,74,107.31,Funkcni
2025-05-02,20:07:05,4,49,75,92.19,Funkcni
2025-05-02,20:07:06,4,58,75,107.67,Funkcni
2025-05-02,20:07:07,4,64,75,120.11,Funkcni
2025-05-02,20:07:07,4,55,74,106.2,Funkcni
2025-05-02,20:07:08,4,45,75,89.75,Funkcni
2025-05-02,20:07:08,4,51,75,109.62,Funkcni
2025-05-02,20:07:09,4,62,75,114.49,Funkcni
2025-05-02,20:07:09,4,51,75,98.85,Funkcni
2025-05-02,20:07:10,4,47,75,85.38,Funkcni
2025-05-02,20:07:11,4,54,75,94.93,Funkcni
2025-05-02,20:07:11,4,46,75,97.08,Funkcni
2025-05-02,20:07:12,4,51,75,114.6,Funkcni
2025-05-02,20:07:12,4,62,75,111.88,Funkcni
2025-05-02,20:07:13,4,64,75,125.78,Funkcni
2025-05-02,20:07:13,4,54,75,122.05,Funkcni
2025-05-02,20:07:14,4,58,76,128.82,Funkcni
2025-05-02,20:07:15,4,64,76,122.88,Funkcni
2025-05-02,20:07:15,4,55,76,113.56,Funkcni
2025-05-02,20:07:16,4,59,76,128.04,Funkcni
2025-05-02,20:07:16,4,63,76,122.44,Funkcni
2025-05-02,20:07:17,4,62,76,138.77,Funkcni
2025-05-02,20:07:17,4,59,76,135.22,Funkcni
2025-05-02,20:07:18,4,72,76,158.73,Funkcni
2025-05-02,20:07:19,4,63,76,150.28,Funkcni
2025-05-02,20:07:19,4,67,76,140.06,Funkcni
2025-05-02,20:07:20,4,53,76,124.39,Funkcni
2025-05-02,20:07:20,4,60,76,135.47,Funkcni
2025-05-02,20:07:21,4,71,76,147.81,Funkcni
2025-05-02,20:07:21,4,61,76,135.8,Funkcni
2025-05-02,20:07:22,4,56,76,136.67,Funkcni
2025-05-02,20:07:23,4,56,76,124.72,Funkcni
2025-05-02,20:07:23,4,49,76,124.77,Funkcni
2025-05-02,20:07:24,4,57,76,130.57,Funkcni
2025-05-02,20:07:24,4,70,76,150.54,Funkcni
2025-05-02,20:07:25,4,60,76,140.52,Funkcni
2025-05-02,20:07:25,4,65,76,137.3,Funkcni
2025-05-02,20:07:26,4,71,76,151.55,Funkcni
2025-05-02,20:07:27,4,68,76,143.43,Funkcni
2025-05-02,20:07:27,4,65,76,156.19,Funkcni
2025-05-02,20:07:28,4,57,76,138.52,Funkcni
2025-05-02,20:07:28,4,59,76,142.22,Funkcni
2025-05-02,20:07:29,4,65,76,136.95,Funkcni
2025-05-02,20:07:29,4,57,76,126.48,Funkcni
2025-05-02,20:07:30,4,61,76,130.45,Funkcni
2025-05-02,20:07:30,4,58,76,124.6,Funkcni
